Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Cat Trapping,,MANLY WEST,2018-05-01
Animal,Other Animal,Deer,JINDALEE,2018-05-01
Animal,Cat,,WYNNUM,2018-05-01
Animal,Other Animal,Fox,RANSOME,2018-05-01
Animal,Other Animal,Fox,KEPERRA,2018-05-01
Animal,Attack,Not An Attack,INALA,2018-05-01
Animal,Other Animal,Insufficient Space,FITZGIBBON,2018-05-01
Animal,Cat Trapping,,INALA,2018-05-01
Animal,Cat,,NORTHGATE,2018-05-01
Animal,Dog,Unregistered,CALAMVALE,2018-05-01
Animal,Other Animal,Fox,UPPER BROOKFIELD,2018-05-01
Animal,Dog,Fencing Issues,VIRGINIA,2018-05-01
Animal,Attack,Menacing,JAMBOREE HEIGHTS,2018-05-01
Animal,Dog,Too Many Animals,MITCHELTON,2018-05-01
Animal,Dog,Fencing Issues,VIRGINIA,2018-05-01
Animal,Cat Trapping,,CHERMSIDE WEST,2018-05-01
Animal,Attack,Menacing,BALMORAL,2018-05-01
Animal,Dog,Too Many Animals,BALD HILLS,2018-05-01
Animal,Other Animal,Odour,WYNNUM,2018-05-01
Animal,Other Animal,Deer,PULLENVALE,2018-05-01
Animal,Dog,Fencing Issues,FITZGIBBON,2018-05-01
Animal,Cat,,GRANGE,2018-05-01
Animal,Attack,,MILTON,2018-05-01
Animal,Other Animal,Fencing Issues,BANYO,2018-05-01
Animal,Other Animal,Nuisance Animal,MITCHELTON,2018-05-01
Animal,Other Animal,Deer,PULLENVALE,2018-05-01
Animal,Cat Trapping,,WYNNUM WEST,2018-05-01
Animal,Attack,Attack On A Person,BURBANK,2018-05-01
Animal,Attack,Attack On A Person,BOONDALL,2018-05-01
Animal,Dog,Too Many Animals,BALD HILLS,2018-05-01
Animal,Dog,Too Many Animals,BALD HILLS,2018-05-01
Animal,Cat Trapping,,BANYO,2018-05-01
Animal,Dog,Odour,WYNNUM WEST,2018-05-01
Animal,Cat,,TARRAGINDI,2018-05-01
Animal,Attack,Attack On A Person,EVERTON PARK,2018-05-01
Animal,Attack,Not An Attack,FITZGIBBON,2018-05-01
Animal,Attack,Attack On A Person,THE GAP,2018-05-01
Animal,Attack,Menacing,CARINA HEIGHTS,2018-05-01
Animal,Cat,,UPPER KEDRON,2018-05-01
Animal,Cat Trapping,,SUNNYBANK HILLS,2018-05-01
Animal,Cat,,NORTHGATE,2018-05-01
Animal,Other Animal,Too Many Animals,GEEBUNG,2018-05-01
Animal,Cat Trapping,,HENDRA,2018-05-01
Animal,Other Animal,Fox,FOREST LAKE,2018-05-01
Animal,Other Animal,Fox,MOGGILL,2018-05-01
Animal,Dog,Defecating In Public,WILSTON,2018-05-01
Animal,Attack,,ELLEN GROVE,2018-05-01
Animal,Dog,Fencing Issues,CHERMSIDE,2018-05-01
Animal,Other Animal,Fox,RUNCORN,2018-05-01
Animal,Cat Trapping,,OXLEY,2018-05-01
Animal,Dog,Fencing Issues,INALA,2018-05-01
Animal,Other Animal,Fencing Issues,ALGESTER,2018-05-01
Animal,Dog,Fencing Issues,MILTON,2018-05-01
Animal,Dog,Fencing Issues,ZILLMERE,2018-05-01
Animal,Attack,Not An Attack,WESTLAKE,2018-05-01
Animal,Attack,Attack On A Person,BELMONT,2018-05-01
Animal,Other Animal,Fencing Issues,ALGESTER,2018-05-01
Animal,Cat,,NORTHGATE,2018-05-01
Animal,Attack,Menacing,EVERTON PARK,2018-05-01
Animal,Cat,,ACACIA RIDGE,2018-05-01
Animal,Attack,Attack On A Person,SEVENTEEN MILE ROCKS,2018-05-01
Animal,Dog,Fencing Issues,CHERMSIDE,2018-05-01
